Grade,Subject,Topic,Description,Resource 1,Resource 2,Resource 3
Grade 1,Science,"External human body parts (head, eyes, nose, mouth, ears, neck, shoulders, arms, hands, fingers, legs, feet, toes)",,,,
Grade 1,Science,"Function and care of the eyes (sense of sight: color, shape, size, distance)",,,,
Grade 1,Science,"Function and care of the ears (sense of hearing: loud, soft, pitch)",,,,
Grade 1,Science,Function and care of the nose (sense of smell: pleasant and unpleasant odors),,,,
Grade 1,Science,"Function and care of the tongue (sense of taste: sweet, sour, salty, bitter, umami)",,,,
Grade 1,Science,"Function and care of the skin (sense of touch: hot, cold, rough, smooth, hard, soft)",,,,
Grade 1,Science,"Personal hygiene practices (handwashing, brushing teeth, bathing, grooming)",,,,
Grade 1,Science,"Healthy habits for body maintenance (proper nutrition, sleep, exercise, hydration)",,,,
Grade 1,Science,Common domestic and wild animals in the local environment,,,,
Grade 1,Science,"External body parts of animals (legs, wings, fins, tails, beaks, claws, fur, feathers, scales)",,,,
Grade 1,Science,"Animal locomotion (walking, flying, swimming, hopping, slithering, crawling)",,,,
Grade 1,Science,"Animal habitats (land, water, air, underground)",,,,
Grade 1,Science,Animal sounds and communication,,,,
Grade 1,Science,"Basic survival needs of animals (food, water, air, shelter)",,,,
Grade 1,Science,"Animal diets (plant-eaters, meat-eaters, both)",,,,
Grade 1,Science,Animal offspring and parent-baby matching,,,,
Grade 1,Science,Animal growth and developmental changes,,,,
Grade 1,Science,"Proper handling, feeding, and care for pets and farm animals",,,,
Grade 1,Science,"Identifying common local plants (trees, shrubs, flowering plants, grasses)",,,,
Grade 1,Science,"Basic plant parts: roots, stem/trunk, leaves, flowers, fruits, seeds",,,,
Grade 1,Science,Functions of basic plant parts,,,,
Grade 1,Science,"Plant diversity (comparing leaf shapes, bark textures, plant sizes, colors)",,,,
Grade 1,Science,"Basic survival needs of plants (sunlight, soil, water, air)",,,,
Grade 1,Science,Seed germination and early growth stages,,,,
Grade 1,Science,Daily plant care and watering,,,,
Grade 1,Science,Importance of plants to humans and animals,,,,
Grade 1,Science,"Distinguishing characteristics of living things (growth, movement, feeding, respiration, reproduction)",,,,
Grade 1,Science,"Characteristics of non-living things (natural vs. man-made, lack of biological processes)",,,,
Grade 1,Science,Sorting and classifying objects as living or non-living,,,,
Grade 1,Science,"Identifying physical properties of matter (color, shape, size, texture, weight, flexibility)",,,,
Grade 1,Science,"Characteristics of solids (definite shape, rigid, can be held)",,,,
Grade 1,Science,"Characteristics of liquids (flows, takes container shape, cannot be held)",,,,
Grade 1,Science,"Characteristics of gases (fills spaces, invisible/visible air, bubbles, steam)",,,,
Grade 1,Science,"Types of materials (wood, plastic, metal, glass, fabric, paper, rubber)",,,,
Grade 1,Science,"Material properties (waterproof, absorbent, transparent, opaque, brittle, flexible)",,,,
Grade 1,Science,Matching everyday objects to their constituent materials,,,,
Grade 1,Science,Sorting matter by single and multiple physical attributes,,,,
Grade 1,Science,Concepts of force: pushing (moving away) vs. pulling (moving closer),,,,
Grade 1,Science,"Effects of force on objects (starting, stopping, speeding up, slowing down, changing direction)",,,,
Grade 1,Science,"Patterns of motion (rolling, sliding, bouncing, spinning, swinging)",,,,
Grade 1,Science,Speed comparison (fast vs. slow movement),,,,
Grade 1,Science,Impact of surfaces and ramps on motion (rough vs. smooth friction),,,,
Grade 1,Science,Basic magnet behavior (magnetic vs. non-magnetic materials),,,,
Grade 1,Science,"Natural light sources (Sun, stars, fire) vs. artificial light sources (bulbs, flashlights, screens)",,,,
Grade 1,Science,Relationship between sunlight and day/night cycles,,,,
Grade 1,Science,Shadow formation and opaque objects,,,,
Grade 1,Science,Factors affecting shadow size and position,,,,
Grade 1,Science,"Natural and artificial sound sources (voices, nature, instruments, machines)",,,,
Grade 1,Science,Sound volume (loud vs. soft) and pitch (high vs. low),,,,
Grade 1,Science,Ear safety around loud noises,,,,
Grade 1,Science,"Temperature perception (hot, warm, cool, cold)",,,,
Grade 1,Science,"Common heat sources (Sun, fire, friction)",,,,
Grade 1,Science,"Identifying daily weather types (sunny, rainy, cloudy, windy, stormy)",,,,
Grade 1,Science,Recording weather using daily symbols or simple charts,,,,
Grade 1,Science,Appropriate clothing and gear for various weather conditions,,,,
Grade 1,Science,"Basic weather safety (thunderstorms, heavy rain, extreme heat)",,,,
Grade 1,Science,"Objects in the day sky (Sun, clouds, rainbows)",,,,
Grade 1,Science,"Objects in the night sky (Moon, stars)",,,,
Grade 1,Science,"Observable phases of the Moon (crescent, half, full)",,,,
Grade 1,Science,"Earth materials: rocks, sand, soil, and bodies of water",,,,
Grade 1,Science,"Sorting rocks by size, color, and texture (pebbles, stones, boulders)",,,,
Grade 1,Science,Soil uses in nature and gardening,,,,
Grade 1,Science,"Sources of fresh and salt water (rain, rivers, lakes, oceans, groundwater)",,,,
Grade 1,Science,Daily uses and conservation of clean water,,,,
Grade 1,Science,Proper waste disposal and basic sorting (biodegradable vs. non-biodegradable),,,,
Grade 1,Science,"Introduction to Reduce, Reuse, and Recycle (3 Rs)",,,,
Grade 1,Science,"Protecting plants, animals, and local environments",,,,
Grade 1,Science,"Using basic scientific tools (hand lens/magnifying glass, balance scale, ruler, dropper)",,,,
Grade 1,Science,Making sensory observations and asking scientific questions,,,,
Grade 1,Science,"Comparing, sorting, and sequencing data",,,,
Grade 1,Science,"Recording scientific findings using simple drawings, tallies, and pictographs",,,,
Grade 1,Science,Basic classroom and outdoor science activity safety,,,,
Grade 1,Math,Rote counting from 1 to 100,,,,
Grade 1,Math,Skip counting by 2s up to 100,,,,
Grade 1,Math,Skip counting by 5s up to 100,,,,
Grade 1,Math,Skip counting by 10s up to 100,,,,
Grade 1,Math,One-to-one correspondence counting with concrete objects,,,,
Grade 1,Math,Reading and writing numbers 0 to 100 in symbols (digits),,,,
Grade 1,Math,Reading and writing number words from zero to twenty (and up to one hundred),,,,
Grade 1,Math,Subitizing small sets of objects (instant recognition up to 10),,,,
Grade 1,Math,Concept of zero as a quantity and placeholder,,,,
Grade 1,Math,"Number relationships: more than, less than, fewer, as many as, equal to",,,,
Grade 1,Math,"Comparing two numbers up to 100 using symbols (>, <, =)",,,,
Grade 1,Math,Ordering numbers up to 100 from least to greatest and greatest to least,,,,
Grade 1,Math,"Identifying the number that comes before, after, and between a given number",,,,
Grade 1,Math,Ordinal numbers from 1st to 10th (first through tenth),,,,
Grade 1,Math,Place value of two-digit numbers (identifying tens and ones),,,,
Grade 1,Math,Composing and decomposing two-digit numbers into tens and ones,,,,
Grade 1,Math,"Expanded form of two-digit numbers (e.g., 45 = 40 + 5)",,,,
Grade 1,Math,Recognizing and representing even and odd numbers up to 20,,,,
Grade 1,Math,Concept of addition as combining sets and putting together,,,,
Grade 1,Math,"Addition symbols and terms (plus sign +, equals sign =, addends, sum)",,,,
Grade 1,Math,Adding single-digit numbers with sums up to 10,,,,
Grade 1,Math,Adding single-digit numbers with sums up to 20,,,,
Grade 1,Math,"Addition strategies (counting on, number lines, using fingers, drawing pictures, ten frames)",,,,
Grade 1,Math,Number bonds / part-part-whole relationships for numbers up to 20,,,,
Grade 1,Math,Making 10 addition strategy,,,,
Grade 1,Math,"Doubles and near-doubles addition facts (e.g., 6+6, 6+7)",,,,
Grade 1,Math,Commutative property of addition (order property: 3 + 4 = 4 + 3),,,,
